旭景家园 实用三房 厅出阳台 保养好 安静带花园,旭景家园,东圃,3室2厅 ,106.97, 北 , 简装 ,11,2002, 塔楼,14,23,5200000.0,48612,VR房源 房本满五年 
满五唯一 南向精装修三房 大飘窗采光佳 小区环境舒适,东方之珠花园,天润路,3室2厅 ,90.4, 南 , 精装 ,28,2004, 塔楼,27,14,7180000.0,79425,近地铁 VR房源 房本满两年 
珠江新城南向正规一房一厅 交通配套成熟 地铁物业,领峰园,珠江新城中,1室1厅 ,82.84, 南 , 精装 ,42,2009, 塔楼,17,10,6600000.0,79672,近地铁 VR看装修 房本满五年 
通风采光好，安静适合住家，小区环境好，户型方正！！,星汇雅苑,珠江新城东,2室1厅 ,81.72, 东 , 精装 ,26,2007, 塔楼,31,11,8500000.0,104014,VR房源 房本满五年 
东成花苑 2室2厅 北,东成花苑,天河公园,2室2厅 ,58.38, 北 , 简装 ,9,2001, 塔楼,9,8,2860000.0,48990,近地铁 VR看装修 房本满五年 
户型方正采光通风良好无占无抵无贷个人产权,中海璟晖华庭,珠江新城中,2室2厅 ,87.55, 北 , 精装 ,32,2007, 塔楼,14,15,11650000.0,133067,VR看装修 房本满五年 
西南向 有阳台 刚需两房 楼层好 交通便利,跑马地花园三期,珠江新城东,1室1厅 ,72.08, 西南 , 精装 ,33,2006, 塔楼,11,11,3580000.0,49668,近地铁 VR看装修 房本满五年 
天力居 高层小三房 保养好 采光通风好,天力居,东圃,3室1厅 ,66.92, 北 , 精装 ,12,1998, 塔楼,25,11,2700000.0,40347,近地铁 VR看装修 房本满两年 
安静望小区花园，业主诚心卖，保养好,天一新村,粤垦,2室1厅 ,64.01, 东 , 简装 ,7,1999, 塔楼,19,9,2990000.0,46712,VR看装修 房本满五年 
沙和路正规三房，南向单位，光线好,沙和路,沙河,3室1厅 ,56.13, 东南 , 简装 ,8,1999, 塔楼,104, 4个月以前发布,1445000.0,25744,VR看装修 房本满五年 随时看房 
天河公园旁东南向一房，视野开阔户型方正,广厦居,天河公园,1室1厅 ,55.55, 东南 , 精装 ,19,2000, 塔楼,31,24,2390000.0,43025,近地铁 VR看装修 房本满两年 随时看房 
华景路口 安静两房 温馨舒适 光线好,华景新城叠翠居,华景新城,2室2厅 ,85.83, 东 西南 西 , 简装 ,9,1994, 塔楼,30,26,4200000.0,48934,VR看装修 房本满五年 随时看房 
天河公园仙湖名苑满五唯一房子。,仙湖名苑,天河公园,2室1厅 ,89.57, 北 , 精装 ,24,2003, 塔楼,10,16,4500000.0,50241,VR看装修 房本满五年 随时看房 
珠江新城东旁 复式五房 南向望江 采光充足 交通便利,福金莲花园,员村,5室2厅 ,185.0, 南 , 精装 ,27,2003, 塔楼,60, 5个月以前发布,7000000.0,37838,VR房源 房本满五年 随时看房 
天河北都市华庭大四房 房大厅大 视野开阔 采光好,都市华庭(天河),体育中心,4室2厅 ,230.32, 西 , 精装 ,32,2001, 板塔结合,22, 5个月以前发布,13160000.0,57138,VR房源 房本满五年 随时看房 
海景花园，精装安静近公园，顶楼开阔视野大五房,海景花园,天河公园,5室2厅 ,254.13, 东南 , 精装 ,29,2003, 塔楼,87, 3个月以前发布,13800000.0,54303,近地铁 VR房源 房本满五年 随时看房 
华港花园，户型方正，高楼层视野开阔。,华港花园,天河公园,3室2厅 ,91.55, 东 , 精装 ,28,2004, 塔楼,175, 3个月以前发布,8580000.0,93720,VR看装修 房本满五年 随时看房 
东方新世界 业主诚心出售  南向复式三房,东方新世界,天河公园,3室2厅 ,182.12, 南 , 精装 ,9,2011, 塔楼,206, 6个月以前发布,15600000.0,85658,VR房源 房本满两年 随时看房 
安静不吵 电梯三房 诚心出售 实用率高  出行方便,建业路华翠街,天河公园,3室2厅 ,91.77, 西 西北 北 , 精装 ,9,1997, 塔楼,48, 5个月以前发布,3850000.0,41953,VR看装修 房本满两年 随时看房 
地铁口学府旁，方正两房，视野开阔,隽峰苑,珠江新城中,2室1厅 ,72.74, 北 , 精装 ,32,2008, 塔楼,16,27,9500000.0,130603,VR看装修 房本满两年 随时看房 
为爱置家，天鹅花苑，进地铁，电梯房，无欠款交易方便,天鹅花苑,长兴,2室1厅 ,60.08, 东北 , 精装 ,9,2001, 塔楼,21,15,2050000.0,34122,近地铁 VR看装修 房本满五年 随时看房 
嘉尚国际公寓 采光通透 视野开阔 户型方正,嘉尚国际公寓,林和,1室1厅 ,44.64, 西 , 简装 ,32,2009, 板塔结合,3,8,5000000.0,112008,近地铁 VR看装修 房本满两年 随时看房 
棠德花园低层双阳台户型  格局方正 视野好 来电即看,棠德花园,棠下,2室2厅 ,64.14, 西南 , 简装 ,9,1997, 塔楼,26,11,1940000.0,30247,VR房源 房本满五年 随时看房 
户型方正 视野采光好 诚心出售 有钥匙 公立幼儿园,润华大厦,天润路,2室2厅 ,83.89, 东 , 简装 ,26,2000, 塔楼,5,8,5090000.0,60675,VR看装修 房本满五年 随时看房 
小区超笋房源，东南向三房，加（9）大客厅舒适感倍增,鸿景园,天润路,3室1厅 ,101.68, 东南 , 简装 ,32,2002, 塔楼,10,9,7200000.0,70811,近地铁 VR房源 房本满五年 随时看房 
330地/标旁，珠村地铁口，业主诚心出售，看重价可谈,翠屏富通雅苑,东圃,3室2厅 ,84.0, 西南 , 精装 ,15,2012, 塔楼,40,30,5500000.0,65477,VR房源 房本满两年 
满五年唯一，业主诚心出售，楼层、保养采光好,云宁居,沙太南,2室1厅 ,66.07, 西 , 精装 ,9,1999, 塔楼,18,15,2200000.0,33299,VR看装修 房本满五年 
侨源山庄 燕塘地铁站 户型方正 实用三房，售360万,侨源山庄,燕塘,3室1厅 ,90.89, 西南 , 精装 ,9,1998, 塔楼,4,15,3600000.0,39609,VR房源 房本满五年 
为爱置家 天河客运站C出口 准电梯房税费低 自住保养好,天鹅花苑,长兴,3室1厅 ,61.24, 东南 , 精装 ,9,1997, 塔楼,29,15,2200000.0,35925,近地铁 VR房源 房本满五年 
华师北区 精装两房 校园环境 高层采光好,华师大学宿舍北区,石牌,2室2厅 ,64.0, 南 , 其他 ,6,2000, 板楼,13,8,4500000.0,70313,VR看装修 房本满五年 
羊城花园，新出好房，大3房带大阳台，业主诚心出售。,羊城花园,东圃,3室1厅 ,108.25, 北 , 简装 ,18,2003, 塔楼,20,12,4300000.0,39723,VR看装修 房本满两年 
穗园小区 3室2厅 南 北,穗园小区,天润路,3室2厅 ,102.28, 南 北 , 其他 ,30,2000, 塔楼,16,5,7980000.0,78022,VR看装修 房本满两年 
华建小区 安静大二房 阳光好景观好,华建小区,天河公园,2室2厅 ,88.54, 南 , 简装 ,17,2001, 塔楼,9,15,4850000.0,54778,VR看装修 房本满五年 
骏景花园 西苑两房 格局好 楼龄新 高楼层,骏景花园,棠下,2室2厅 ,84.38, 北 , 简装 ,24,2006, 塔楼,17,7,5660000.0,67078,近地铁 VR房源 房本满五年 
骏景花园实用三房 楼层好 业主诚心放售,骏景花园,棠下,3室2厅 ,101.83, 北 , 简装 ,13,2000, 塔楼,27,9,7080000.0,69528,VR房源 房本满五年 
美林海岸花园 2室1厅 东南,美林海岸花园,员村,2室1厅 ,68.75, 东南 , 简装 ,12,2004, 塔楼,34,14,5100000.0,74182,近地铁 VR看装修 房本满两年 
翰林苑小区电梯两房位置安静自住保养好满五唯一交易快,翰林苑(天河),长兴,2室2厅 ,71.65, 东北 , 精装 ,18,2006, 塔楼,21,14,3300000.0,46058,VR看装修 房本满五年 
绿佳花园 原装电梯高层大三房 安静 便利,绿佳花园,粤垦,3室2厅 ,100.0, 南 , 精装 ,11,1998, 塔楼,4,15,4300000.0,43000,VR房源 房本满两年 
旭景家园，南向望花园实用三房，采光视野好,旭景家园,东圃,3室2厅 ,90.13, 东南 , 简装 ,15,2002, 塔楼,15,7,4900000.0,54366,VR房源 房本满五年 
南向采光好精装修小区楼下就是天河公园东门 生活便利,仙湖名苑,天河公园,2室1厅 ,90.0, 南 , 精装 ,24,2003, 塔楼,23, 1个月以前发布,4650000.0,51667,VR看装修 房本满五年 随时看房 
云宁居 电梯2房 过五唯一 正南向 采光通风好,云宁居,沙太南,2室2厅 ,69.83, 南 , 精装 ,9,1999, 塔楼,56, 一年前发布,2280000.0,32651,VR看装修 房本满五年 随时看房 
棠德花园 户型格局好 一房一厅 简单装修 采光好,棠德花园,棠下,1室1厅 ,44.0, 东 , 毛坯 ,10,1997, 塔楼,64, 一年前发布,1380000.0,31364,VR看装修 房本满两年 随时看房 
产权清晰 户型方正实用， 采光通风好 生活交通便捷,南兴花园(天河区),天河客运站,3室1厅 ,85.57, 北 , 精装 ,7,2004, 塔楼,18, 1个月以前发布,2970000.0,34709,近地铁 VR看装修 房本满五年 随时看房 
房子户型方正，采光很不错，通风很好,银兰苑,石牌,2室1厅 ,58.6, 南 , 简装 ,17,1996, 塔楼,48, 3个月以前发布,2590000.0,44198,VR看装修 房本满五年 随时看房 
成熟社区，大两房。业主诚心出售，看房方便。,贤人阁,龙口西,2室2厅 ,95.35, 西北 , 精装 ,22,1999, 塔楼,26, 8个月以前发布,5060000.0,53068,VR看装修 房本满五年 随时看房 
棠德花园正规东向三房 户型方正285万,棠德花园,棠下,3室1厅 ,78.0, 东南 , 精装 ,9,1997, 塔楼,15, 3个月以前发布,2850000.0,36539,VR房源 房本满五年 随时看房 
瑞心苑、品质小区 户型方正，东向厅出阳台，采光通透,瑞心苑,燕塘,2室2厅 ,76.93, 东 , 简装 ,11,2000, 塔楼,47, 3个月以前发布,3600000.0,46796,VR看装修 房本满五年 随时看房 
旭景家园实用三房满五唯一省税费南向带大花园,旭景家园,东圃,3室2厅 ,98.47, 南 , 简装 ,14,2002, 塔楼,81, 4个月以前发布,4320000.0,43872,近地铁 VR看装修 房本满五年 随时看房 
金燕花园   户型方正 安静舒适  房子是居家装修,金燕花园,粤垦,3室2厅 ,95.24, 西南 , 简装 ,26,2002, 塔楼,82, 一年前发布,3430000.0,36015,VR看装修 房本满五年 随时看房 
昌乐园南向两房 安静看花园  配套成熟的,昌乐园,员村,2室1厅 ,52.02, 南 , 简装 ,6,1994, 板楼,39, 5个月以前发布,2150000.0,41331,近地铁 VR看装修 房本满五年 随时看房 
福龙苑 方正三房 采光通透 居住舒适,福龙苑,粤垦,3室2厅 ,89.83, 东 , 简装 ,9,2000, 塔楼,53, 3个月以前发布,2900000.0,32284,VR看装修 房本满两年 随时看房 
跑马地花园三期 2室1厅 东北,跑马地花园三期,珠江新城东,2室1厅 ,74.6, 东北 , 精装 ,33,2006, 塔楼,118, 3个月以前发布,4500000.0,60322,近地铁 VR看装修 房本满五年 随时看房 
橡树园 电梯三房 采光通风高 总价低业主急售 户型好,橡树园,沙太南,3室1厅 ,78.5, 西北 , 简装 ,9,2006, 塔楼,117, 4个月以前发布,2880000.0,36688,VR看装修 房本满两年 随时看房 
西雅苑电梯三房，高层安静采光好，东南向，交通方便。,西雅苑,体育中心,3室2厅 ,109.72, 东南 , 简装 ,28,1998, 塔楼,42, 6个月以前发布,8500000.0,77470,VR房源 房本满五年 随时看房 
户型方正大阳台五年唯一采光好总价低产权清晰,美好居,车陂,2室1厅 ,74.0, 西 , 简装 ,12,1998, 塔楼,10, 1个月以前发布,3750000.0,50676,VR看装修 房本满五年 随时看房 
羊城花园，正南向三房，楼层好，户型正,羊城花园,东圃,3室2厅 ,85.94, 南 , 简装 ,6,1999, 塔楼,141, 一年前发布,3120000.0,36305,VR看装修 房本满五年 随时看房 
总价低，78方的实用3房，育龙居少有户型,育龙居,龙洞,3室1厅 ,77.13, 西南 , 精装 ,9,2000, 塔楼,65, 2个月以前发布,2600000.0,33710,近地铁 VR看装修 房本满五年 随时看房 
大金燕中间楼层三房两卫、封闭式管理小区、不临街,金燕花园,粤垦,3室2厅 ,95.24, 南 西 北 , 简装 ,26,2002, 塔楼,147, 5个月以前发布,3580000.0,37590,VR看装修 房本满五年 随时看房 
08年次新楼，华景新城，极少放卖四房户型，视野好,珠江俊园,华景新城,4室1厅 ,130.75, 东 , 精装 ,28,2007, 塔楼,91, 1个月以前发布,12200000.0,93308,VR房源 房本满五年 随时看房 
加拿大花园 近天河公园电梯大三房 格局正 小区宜居,加拿大花园,华景新城,3室1厅 ,103.81, 西南 , 精装 ,23,1995, 塔楼,21,31,4250000.0,40941,VR房源 房本满五年 随时看房 
华工东区电梯新出3房，满五唯一,华南理工大学宿舍南新村,五山,3室2厅 ,85.81, 南 北 , 简装 ,9,2003, 塔楼,51, 3个月以前发布,5600000.0,65261,近地铁 VR看装修 房本满五年 随时看房 
兰亭荟 楼龄新 满五唯一高层精装格局好可望江与小蛮腰,兰亭荟苑,珠江新城东,2室2厅 ,83.2, 南 , 精装 ,22,2012, 塔楼,115, 2个月以前发布,9680000.0,116347,VR看装修 房本满五年 随时看房 
新鸿基峻林华阳本部  恒温泳池 天銮同物业 过五唯一,峻林,林和,3室2厅 ,159.0, 南 北 , 精装 ,34,2012, 塔楼,38, 2个月以前发布,18990000.0,119434,近地铁 VR看装修 房本满五年 随时看房 
此房户型方正，中高楼层视野，居住舒适，交通便捷,棠德花园,棠下,2室1厅 ,63.5, 东南 , 简装 ,29,1997, 塔楼,35, 7个月以前发布,2360000.0,37166,VR看装修 房本满五年 随时看房 
老干大院电梯2房，户型方正，视野开阔,老干中心大院,长兴,2室1厅 ,81.54, 西北 , 精装 ,11,2002, 塔楼,67, 2个月以前发布,2740000.0,33604,VR看装修 房本满五年 随时看房 
员村正规南向3居室 采光通风佳 配套成熟近地铁,海外宿舍,天河公园,3室2厅 ,78.06, 南 , 简装 ,9,2000, 塔楼,19, 2个月以前发布,3550000.0,45478,VR看装修 房本满五年 随时看房 
美好居 南向 高楼层 交通方便,美好居,车陂,3室1厅 ,93.68, 南 西南 , 精装 ,12,1998, 塔楼,105, 一年前发布,4280000.0,45688,VR看装修 房本满两年 随时看房 
业主长期不在天河，忍痛处理南向实用三房,东园小区,石牌,3室2厅 ,96.0, 南 , 简装 ,8,1992, 塔楼,222, 4个月以前发布,3280000.0,34167,VR看装修 房本满五年 随时看房 
天河区陶苑 近地铁  电梯大3房 低总价 南北,陶苑小区,沙太南,3室2厅 ,101.72, 东 南 北 , 简装 ,9,1993, 塔楼,87, 3个月以前发布,2210000.0,21727,VR看装修 房本满五年 随时看房 
华阳电梯两房，户型方正实用，住家安静舒适,天河直街远洋宿舍,体育中心,2室2厅 ,64.57, 北 , 简装 ,8,1996, 塔楼,93, 9个月以前发布,3430000.0,53121,VR房源 房本满两年 随时看房 
粤垦路繁华地段 实用三房户型方正 通风采光好,福龙苑,粤垦,3室2厅 ,78.0, 西南 , 精装 ,9,2000, 塔楼,120, 5个月以前发布,2680000.0,34359,VR看装修 房本满五年 随时看房 
天河公园东门，信息港旁，全南向两房，中低楼层,海外宿舍,天河公园,2室2厅 ,60.38, 南 , 精装 ,8,2000, 塔楼,29, 2个月以前发布,2790000.0,46208,VR看装修 房本满五年 随时看房 
高楼层、采光好，超大入户花园。,翠屏富通雅苑,东圃,3室1厅 ,70.77, 北 , 精装 ,17,2012, 塔楼,34, 1个月以前发布,4300000.0,60761,VR看装修 房本满两年 随时看房 
华阳  三房 北向 全新装修 近地铁 安静,恒康阁,林和,3室2厅 ,103.47, 北 , 精装 ,24,2000, 塔楼,18, 5个月以前发布,5800000.0,56055,近地铁 VR看装修 房本满五年 随时看房 
小三房，户型方正，视野开阔，采光通风好,春江花园,棠下,3室1厅 ,83.0, 北 , 简装 ,16,2000, 塔楼,20, 1个月以前发布,3400000.0,40964,近地铁 VR看装修 房本满五年 随时看房 
金燕花园 东南朝向，厅出阳台，通风采光好  近地铁,金燕花园,粤垦,3室1厅 ,75.6, 东南 , 精装 ,9,1999, 塔楼,34, 4个月以前发布,3050000.0,40344,VR房源 房本满五年 随时看房 
东圃广场三期，证过5年唯一物业！,东圃广场,东圃,2室1厅 ,67.5, 南 北 , 精装 ,19,2002, 塔楼,77, 1个月以前发布,2950000.0,43704,VR房源 房本满五年 随时看房 
大型花园小区，户型方正采光通风好,金海花园,龙口东,2室2厅 ,79.25, 南 , 简装 ,9,2002, 塔楼,77, 5个月以前发布,7700000.0,97161,VR看装修 房本满两年 随时看房 
房子楼层通风采光好，视野宽阔，适合居住，小区环境好,汇友苑,东圃,2室1厅 ,70.67, 东南 , 精装 ,19,1994, 塔楼,40, 6个月以前发布,2900000.0,41036,VR看装修 房本满五年 随时看房 
体院学院  精致全明屋 南北对流  高层电梯四房,广州体育学院,林和,4室2厅 ,95.88, 南 , 精装 ,9,1998, 板楼,94, 一年前发布,5850000.0,61014,VR看装修 房本满五年 随时看房 
珠江新城旁 次新房 高层景观好 地铁在楼下 急售,中铁盛德国际,石牌,2室2厅 ,88.84, 西 , 简装 ,37,2013, 板塔结合,54, 2个月以前发布,4350000.0,48965,VR看装修 房本满五年 随时看房 
此房过五唯一，户型方正，欢迎大家来带看。,天誉华庭,龙口西,2室1厅 ,77.47, 西北 , 精装 ,38,2004, 板塔结合,67, 8个月以前发布,6400000.0,82613,VR看装修 房本满五年 随时看房 
粤韵庭园 2室1厅 南,粤韵庭园,天河公园,2室1厅 ,73.11, 南 , 简装 ,12,2003, 塔楼,212, 1个月以前发布,4100000.0,56080,近地铁 VR看装修 房本满五年 随时看房 
业主诚意出售，看房方便，三房方正望花园。,天雅居,东圃,3室2厅 ,104.42, 北 , 简装 ,20,2003, 塔楼,48, 5个月以前发布,3500000.0,33519,VR房源 房本满五年 随时看房 
三房两厅  得房率高  BRT 三房 带大平台,羊城花园,东圃,3室2厅 ,109.0, 北 , 简装 ,6,2000, 塔楼,49, 2个月以前发布,3500000.0,32111,VR房源 房本满五年 随时看房 
大金燕西南向原装电梯高层，视野开阔采光好,金燕花园,粤垦,3室2厅 ,85.42, 西北 , 简装 ,22,2004, 塔楼,73, 2个月以前发布,3380000.0,39570,VR看装修 房本满五年 随时看房 
大阳台两房正南朝向，3楼总高6层位置居中，小区靠里,昌乐园,员村,2室1厅 ,52.68, 南 , 简装 ,6,1994, 板楼,29, 1个月以前发布,2320000.0,44040,VR看装修 房本满两年 随时看房 
铂林国际公寓 2室1厅 西南,铂林国际公寓,珠江新城西,2室1厅 ,50.33, 西南 , 简装 ,22,2005, 塔楼,136, 5个月以前发布,4450000.0,88417,VR房源 房本满五年 随时看房 
芳满庭园 电梯精装两房 通风采光好 格局正,华景新城芳满庭园,华景新城,2室1厅 ,73.11, 北 , 精装 ,36,2005, 塔楼,73, 2个月以前发布,5280000.0,72220,VR房源 房本满两年 随时看房 
刚需两房，近地铁口，适合居住，拎包入住,穗茵园,天河公园,2室2厅 ,62.62, 南 北 , 精装 ,9,1999, 塔楼,25, 4个月以前发布,2900000.0,46312,近地铁 VR房源 房本满五年 随时看房 
东圃广场二期东向三房带主人套间诚心出售,东圃广场,东圃,3室1厅 ,97.94, 东 , 简装 ,12,1999, 塔楼,75, 8个月以前发布,4150000.0,42373,VR看装修 房本满五年 随时看房 
天河鸿运花园 低楼层 户型方正实用大阳台,天河鸿运花园,天河公园,3室1厅 ,108.65, 北 , 简装 ,9,1999, 塔楼,57, 1个月以前发布,3650000.0,33595,近地铁 VR看装修 房本满五年 随时看房 
小区环境安静，户型方正，全新装修入手可住，看房方便,水利电力学院,天润路,4室2厅 ,106.73, 西南 , 精装 ,9,1998, 塔楼,15, 1个月以前发布,5100000.0,47785,VR看装修 房本满五年 随时看房 
员村超笋三房 有入户花园 门口就是公交站 业主急售,诚居花园,员村,3室2厅 ,84.24, 南 北 , 精装 ,9,1996, 塔楼,50, 1个月以前发布,3000000.0,35613,近地铁 VR看装修 房本满五年 随时看房 
满五唯一，小区好，楼龄新，有大露台，单边位,时代花生二期,沙太南,4室2厅 ,143.88, 东南 , 精装 ,18,2008, 塔楼,9,8,6800000.0,47262,VR房源 房本满五年 
橡树园 大复式物业 小区中间位置安静 视野好,橡树园,沙太南,4室1厅 ,131.43, 西北 , 简装 ,16,2008, 塔楼,5,6,4900000.0,37283,VR看装修 房本满五年 随时看房 
美林海岸花园 2室1厅 东南,美林海岸花园,员村,2室1厅 ,69.91, 东南 , 精装 ,12,2004, 塔楼,21,7,5380000.0,76957,近地铁 VR看装修 房本满两年 随时看房 
珠江新城华颖轩南北对流三房精装修带主套,华颖轩,员村,3室1厅 ,113.72, 南 北 , 精装 ,21,2004, 塔楼,71,24,6300000.0,55400,VR看装修 房本满两年 随时看房 
户型方正，厅、房出阳台双阳台，一梯两户准电梯房。,天信大厦,龙口西,3室2厅 ,107.45, 南 , 简装 ,9,1997, 塔楼,6,9,6150000.0,57236,VR看装修 房本满五年 
中兴花园 天河东圃 精装三房 方正实用,中兴花园,东圃,3室1厅 ,93.96, 东 , 简装 ,12,2001, 塔楼,3,14,4600000.0,48958,VR看装修 房本满五年 随时看房 
保利林海山庄 2室2厅 东南,保利林海山庄,龙洞,2室2厅 ,78.65, 东南 , 精装 ,11,1994, 塔楼,8,12,3900000.0,49587,近地铁 VR看装修 房本满五年 随时看房 
天河公园旁 近地铁 刚需两房 业主诚心出售,乐雅苑,员村,2室1厅 ,82.5, 北 , 简装 ,9,2006, 塔楼,47,11,3000000.0,36364,近地铁 VR看装修 房本满两年 随时看房 
交通方便 生活配套齐全 电梯三房 适合刚需,五华大厦,天河公园,3室1厅 ,61.0, 南 , 简装 ,9,1998, 塔楼,1,8,2900000.0,47541,VR房源 房本满两年 随时看房 
时代花生经典户型，时代1+1，精装修，安静舒适,时代花生一期,沙太南,2室1厅 ,53.05, 北 , 精装 ,9,2008, 塔楼,24,14,2540000.0,47880,VR看装修 房本满五年 随时看房 
业主诚心放卖，交通便利，大型封闭小区，环境好,天雅居,东圃,3室2厅 ,109.88, 东 , 简装 ,13,1999, 塔楼,14,12,3760000.0,34220,VR看装修 房本满五年 随时看房 
中楼层 采光通风好 三房两厅两卫 龙口西 房主诚售,天龙大厦,龙口西,3室2厅 ,115.63, 东北 , 精装 ,25,1997, 塔楼,8,11,6900000.0,59674,VR看装修 房本满两年 随时看房 
橡树园 东南向正三房 隔局好 户型方正视野开阔,橡树园,沙太南,3室1厅 ,85.16, 东南 , 简装 ,9,2006, 塔楼,10,7,3300000.0,38751,VR看装修 房本满两年 
天河公园 华景新城 信华花园 安静的 南向精致四房,华景新城信华花园,华景新城,4室1厅 ,113.31, 南 , 精装 ,31,2012, 塔楼,23,7,9900000.0,87371,VR看装修 房本满五年 
华港花园3期 高层南向三房 安静看别墅山景,华港花园,天河公园,3室2厅 ,102.95, 南 , 精装 ,30,2004, 塔楼,19,4,10500000.0,101992,近地铁 VR看装修 房本满五年 
华景新城陶然庭园 2室1厅 北,华景新城陶然庭园,华景新城,2室1厅 ,77.63, 北 , 其他 ,35,2007, 塔楼,11,3,5100000.0,65697,VR房源 房本满五年 
理想蓝堡 望江望广州塔 高层南向大两房 看房方便,理想蓝堡国际花园,天河公园,2室1厅 ,81.92, 西南 , 精装 ,29,2004, 塔楼,15,5,8350000.0,101929,VR房源 房本满五年 
党校房改 4室2厅 南 北 东,党校房改,天润路,4室2厅 ,91.53, 南 北 东 , 精装 ,8,1997, 塔楼,31,21,7380000.0,80630,VR看装修 房本满五年 
户型方正大三房，楼层好，视野宽广，居住舒适度佳,隆德大厦,体育中心,3室2厅 ,114.22, 南 , 简装 ,30,2006, 塔楼,30,30,6980000.0,61111,VR房源 房本满两年 随时看房 
房子安静望公园 适合住家 出行方便,粤和楼,天河公园,2室1厅 ,81.44, 北 , 简装 ,18,2000, 塔楼,17,24,3600000.0,44205,近地铁 VR房源 房本满五年 随时看房 
天河公园旁，精装修南向高楼层，视野宽阔，通风采光好,天河鸿运花园,天河公园,3室1厅 ,89.53, 南 , 精装 ,9,1999, 塔楼,59,20,3650000.0,40769,VR房源 房本满两年 随时看房 
户型方正。高层望花园，满五唯一。,城市假日园,东圃,2室1厅 ,79.1, 西北 , 简装 ,13,2007, 塔楼,20,18,5120000.0,64729,近地铁 VR看装修 房本满五年 随时看房 
厅出阳台朝东 全明格局 舒适两房 单边位无遮挡,兰亭上东,员村,2室1厅 ,76.82, 东 , 简装 ,23,2006, 塔楼,49,27,4500000.0,58579,VR看装修 房本满五年 随时看房 
城市假日园  刚需三房  出来了  等你约看,城市假日园,东圃,3室1厅 ,82.26, 东北 , 简装 ,16,2004, 塔楼,42,28,5200000.0,63215,VR房源 房本满五年 随时看房 
天河公园旁采光好视野好户型方正居住舒适,华建小区,天河公园,2室2厅 ,52.0, 北 , 精装 ,17,2001, 塔楼,10,18,3750000.0,72116,VR房源 房本满五年 随时看房 
